"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.238605404E1,-7.484485736E-1,1.289335171E0,-2.801471186E-1
2.239609204E1,-8.424255352E-1,1.281657923E0,3.294713062E-1
2.240613104E1,-8.397703877E-1,1.248100460E0,8.546413189E-1
2.241616904E1,-7.178519214E-1,1.163358006E0,1.327713225E0
2.242620804E1,-6.840906098E-1,1.152280675E0,1.715481271E0
2.243624604E1,-6.915076567E-1,1.186279969E0,2.000515493E0
2.244628546E1,-8.161838892E-1,1.085231238E0,2.263719719E0
2.245632446E1,-8.015415841E-1,9.256191348E-1,2.523947128E0
2.246636246E1,-6.848631001E-1,7.152020364E-1,2.866239039E0
2.247640046E1,-6.147706988E-1,4.807843834E-1,3.282380700E0
2.248643946E1,-4.553875139E-1,2.964237204E-1,3.555716397E0
2.249647746E1,-4.701762917E-1,2.454927910E-1,3.517369187E0
2.250651546E1,-7.294575481E-1,3.709785705E-1,3.392059262E0
2.251655446E1,-7.377922424E-1,3.252968328E-1,3.380378280E0
2.252659246E1,-4.625569312E-1,2.937059346E-1,3.549932916E0
2.253663146E1,-1.573644703E-1,3.054256551E-1,3.941598716E0
2.254666946E1,3.223514486E-2,1.528046288E-1,4.294686341E0
2.255670746E1,3.580531907E-1,-2.195556387E-1,4.620284452E0
2.256674646E1,4.907529359E-1,-7.798961420E-1,4.671523018E0
2.257678446E1,6.169108529E-1,-1.267878813E0,4.492039810E0
2.258682246E1,8.536934122E-1,-1.658191568E0,3.940534523E0
2.259686146E1,9.249870508E-1,-1.821912437E0,3.172290493E0
2.260689946E1,7.529771691E-1,-1.761831857E0,2.319062446E0
2.261693746E1,6.219738838E-1,-1.619996970E0,1.633123823E0
2.262697646E1,5.714296746E-1,-1.470755416E0,9.806821454E-1
2.263701446E1,5.345443419E-1,-1.353789760E0,6.312882060E-1
2.264705246E1,5.126739281E-1,-1.188234766E0,3.523532152E-1
2.265709146E1,6.459151621E-1,-1.077652808E0,1.866173959E-1
2.266712946E1,8.232222558E-1,-9.971167682E-1,7.825679541E-2
2.267716846E1,8.569248759E-1,-9.473543318E-1,-9.291225672E-2
2.268720646E1,8.058417727E-1,-8.902086161E-1,-2.434780598E-1
2.269724446E1,5.813869347E-1,-9.984818738E-1,-6.214672226E-1
2.270728346E1,5.507257438E-1,-1.024069947E0,-8.508868217E-1
2.271732146E1,4.269128893E-1,-9.528209668E-1,-1.192189384E0
2.272735946E1,2.372289577E-1,-8.596425886E-1,-1.614056638E0
2.273739846E1,9.973871654E-2,-7.676498797E-1,-2.062711741E0
2.274743646E1,-5.647349599E-2,-6.370512217E-1,-2.520435875E0
2.275747446E1,-2.208726875E-1,-5.112662841E-1,-3.000392877E0
2.276751346E1,-4.419695427E-1,-4.486412157E-1,-3.428005605E0
2.277755146E1,-1.188546806E-1,-7.044082224E-2,-3.752458831E0
2.278759046E1,-2.508252507E-1,-1.654845352E-1,-4.145641984E0
2.279762846E1,-4.445774739E-1,-1.490569291E-1,-4.175152881E0
2.280766646E1,-4.195802981E-1,4.298375934E-2,-4.273393705E0
2.281770546E1,-2.689888038E-1,-3.446071163E-2,-4.406730688E0
2.282774346E1,-1.039956357E-1,4.305261031E-2,-4.391095233E0
2.283778146E1,-7.132403503E-2,1.007916722E-1,-4.253292148E0
2.284782046E1,-5.578636592E-2,1.126031940E-1,-4.142251768E0
2.285785846E1,-2.094652266E-1,1.763417915E-1,-3.872893932E0
2.286789646E1,-1.502727114E-1,3.487237023E-1,-3.511811993E0
2.287793546E1,-1.742921962E-1,5.468722460E-1,-3.199753695E0
2.288797346E1,-4.481110925E-1,7.299491528E-1,-2.987478132E0
2.289801146E1,-5.348217923E-1,1.066861991E0,-2.378801109E0
2.290805046E1,-4.873588465E-1,1.188222121E0,-1.706396452E0
2.291808846E1,-1.687052182E-1,1.180007587E0,-1.219903432E0
2.292812746E1,2.276783714E-1,1.199175199E0,-8.046277446E-1
2.293816546E1,4.340967053E-1,1.315060873E0,-4.940435296E-1
2.294820346E1,4.179309447E-1,1.452307158E0,-1.519457459E-2
2.295824246E1,3.461666418E-1,1.633100873E0,5.715109509E-1
2.296828046E1,1.417519660E-1,1.593859478E0,1.046874381E0
2.297831846E1,1.050237407E-1,1.519060141E0,1.571536270E0
2.298835746E1,7.280558243E-2,1.265329866E0,1.766065534E0
2.299839546E1,-2.222440789E-1,1.139526875E0,2.060678664E0
