"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.238974702E1,6.501156041E1,2.549668960E1,1.434573641E1,1.535212040E0,7.715934782E1,1.031053368E1,3.036373512E1
2.338964248E1,6.501156256E1,2.549672267E1,1.449872552E1,1.535212040E0,8.225640341E1,8.833090950E0,2.679043346E1
2.438954294E1,6.501156180E1,2.549675506E1,1.492479657E1,1.409510732E0,8.646619056E1,9.924083874E0,3.054326202E1
2.538945031E1,6.501156178E1,2.549677730E1,1.388872412E1,1.409510732E0,8.477266304E1,1.149660853E1,2.940917510E1
2.638936257E1,6.501155880E1,2.549681116E1,1.336315225E1,1.408647776E0,8.877326013E1,8.456854729E0,2.152318155E1
2.738928020E1,6.501156496E1,2.549683466E1,1.343824777E1,1.296974182E0,8.047535983E1,9.557194193E0,2.537150630E1
2.838920259E1,6.501156915E1,2.549686375E1,1.358317945E1,1.296974182E0,8.612389383E1,7.417861195E0,2.056009713E1
2.938913012E1,6.501157377E1,2.549689100E1,1.343335087E1,1.296974182E0,8.283027155E1,4.910142329E0,1.450440758E1
3.038906169E1,6.501157867E1,2.549692546E1,1.343386438E1,1.569901824E0,7.581221531E1,6.399614537E0,1.989193445E1
3.138899732E1,6.501158101E1,2.549696183E1,1.332026074E1,1.578267574E0,7.746351052E1,8.303659208E0,2.648097953E1
3.238893676E1,6.501157714E1,2.549699157E1,1.338263166E1,1.424400806E0,8.591191079E1,4.748651530E0,1.458928498E1
3.338887954E1,6.501157799E1,2.549703746E1,1.374077946E1,1.649947405E0,8.559279350E1,4.748651530E0,1.430521256E1
3.438882482E1,6.501159214E1,2.549701689E1,1.824688825E1,1.529148317E0,7.841252250E1,1.863129395E1,3.369542379E1
3.538877404E1,6.501159191E1,2.549705074E1,1.844723206E1,1.463637070E0,8.342820517E1,1.557064747E1,2.824571608E1
3.638872695E1,6.501159188E1,2.549707891E1,1.840019988E1,1.352103824E0,8.264989962E1,1.557064754E1,2.761809344E1
3.738868165E1,6.501159622E1,2.549711122E1,1.852537887E1,1.390557649E0,8.210432212E1,1.652776811E1,2.749089182E1
3.838863885E1,6.501159560E1,2.549714853E1,1.853537846E1,1.589552939E0,8.917812525E1,1.650971723E1,2.689648427E1
3.938859892E1,6.501159832E1,2.549717510E1,1.784950177E1,1.440776871E0,8.020637487E1,1.664325460E1,2.704559043E1
4.038856053E1,6.501160006E1,2.549720312E1,1.739770809E1,1.417289997E0,8.672886638E1,1.654080675E1,2.602603675E1
4.138852465E1,6.501160426E1,2.549723551E1,1.749080719E1,1.503960117E0,8.169334781E1,1.654080671E1,2.519357340E1
4.238849080E1,6.501160547E1,2.549726738E1,1.726337577E1,1.502294517E0,8.179715147E1,1.611487519E1,2.366435209E1
4.338845921E1,6.501160599E1,2.549729728E1,1.697577871E1,1.335995078E0,8.337307446E1,1.534080300E1,2.138058685E1
4.438842821E1,6.501160897E1,2.549733503E1,1.705342953E1,1.463950254E0,8.287237353E1,1.482604068E1,2.034486608E1
4.538840008E1,6.501160824E1,2.549736989E1,1.679626114E1,1.521858424E0,8.239071934E1,1.485744927E1,2.101304736E1
4.638837266E1,6.501160997E1,2.549739787E1,1.687645164E1,1.479223302E0,8.140289158E1,1.485744928E1,2.088897679E1
4.738834620E1,6.501161140E1,2.549743134E1,1.695404892E1,1.562044486E0,8.144509798E1,1.485744926E1,2.065854427E1
4.838832271E1,6.501161476E1,2.549745995E1,1.714764458E1,1.373687577E0,8.172469404E1,1.460930452E1,1.935499929E1
4.938829958E1,6.501161665E1,2.549749271E1,1.729524408E1,1.467569508E0,8.053974534E1,1.454861287E1,1.915227857E1
5.038827741E1,6.501162088E1,2.549752020E1,1.712049211E1,1.560115992E0,7.959348730E1,1.454861268E1,2.039877396E1
5.138825643E1,6.501162183E1,2.549755503E1,1.695701349E1,1.560701582E0,8.300985400E1,1.454861287E1,1.936396397E1
5.238823617E1,6.501162571E1,2.549759033E1,1.689423355E1,1.483324208E0,7.839828104E1,1.426294497E1,1.959591383E1
5.338821781E1,6.501162433E1,2.549762112E1,1.651221176E1,1.357127308E0,8.196441629E1,1.465315460E1,1.998807366E1
5.438819957E1,6.501162259E1,2.549765781E1,1.669344109E1,1.519089314E0,8.444880020E1,1.447730109E1,1.896688189E1
5.538818240E1,6.501162505E1,2.549769298E1,1.681514773E1,1.497478359E0,8.118202438E1,1.433685800E1,1.943562971E1
5.638816583E1,6.501162519E1,2.549772647E1,1.685080836E1,1.504379224E0,8.497317712E1,1.433685802E1,1.947580523E1
5.738815057E1,6.501162586E1,2.549775568E1,1.704450030E1,1.437638632E0,8.347385618E1,1.423267652E1,1.927622646E1
5.838813591E1,6.501162712E1,2.549779145E1,1.713332661E1,1.511587838E0,8.200089077E1,1.412574572E1,1.896782996E1
5.938812125E1,6.501162650E1,2.549782054E1,1.726819556E1,1.539137073E0,8.180357262E1,1.420486419E1,1.875617462E1
6.038810813E1,6.501162705E1,2.549785033E1,1.716153454E1,1.476596026E0,7.751780907E1,1.406457558E1,1.844487154E1
6.138809514E1,6.501162781E1,2.549788641E1,1.715494297E1,1.419824299E0,8.266949250E1,1.405772388E1,1.857545809E1
6.238808203E1,6.501162714E1,2.549792325E1,1.717401172E1,1.513866771E0,8.255059421E1,1.414018465E1,1.848079279E1
6.338807094E1,6.501163108E1,2.549795559E1,1.733390780E1,1.484431979E0,8.140984339E1,1.415999984E1,1.879142135E1
6.438805866E1,6.501163168E1,2.549799150E1,1.731675431E1,1.509705749E0,8.479291149E1,1.428406739E1,1.857343442E1
6.538804758E1,6.501163213E1,2.549802313E1,1.729808825E1,1.579000881E0,8.290429349E1,1.425573027E1,1.810272163E1
6.638803732E1,6.501163039E1,2.549805546E1,1.742849943E1,1.483074731E0,8.672134653E1,1.438033455E1,1.952644777E1
6.738802695E1,6.501163371E1,2.549808715E1,1.777545524E1,1.552815565E0,8.339499314E1,1.438033457E1,1.918960551E1
6.838801682E1,6.501163628E1,2.549811483E1,1.802077995E1,1.613145452E0,8.163643414E1,1.441939938E1,1.885805926E1
6.938800788E1,6.501163848E1,2.549814451E1,1.815723224E1,1.542775743E0,8.025011828E1,1.440728376E1,1.952812823E1
7.038799846E1,6.501164419E1,2.549817482E1,1.848645167E1,1.472184166E0,7.625966362E1,1.453669476E1,1.963086439E1
7.138798928E1,6.501164737E1,2.549820225E1,1.882633542E1,1.482778310E0,7.565424780E1,1.456715336E1,1.942342438E1
7.238798106E1,6.501165044E1,2.549823658E1,1.864619591E1,1.520058311E0,8.369296664E1,1.441595835E1,1.909647877E1
7.338797283E1,6.501165138E1,2.549827146E1,1.865084743E1,1.563021057E0,8.191468638E1,1.453068118E1,1.887578624E1
7.438796508E1,6.501165534E1,2.549830980E1,1.870798672E1,1.550801847E0,8.147874872E1,1.452479538E1,1.884702863E1
7.538795686E1,6.501165919E1,2.549834323E1,1.880922692E1,1.497213844E0,8.298253012E1,1.464916467E1,1.987407462E1
7.638794971E1,6.501166243E1,2.549838393E1,1.898601340E1,1.649585419E0,7.871377045E1,1.445689706E1,1.962363116E1
7.738794184E1,6.501166292E1,2.549841481E1,1.883359023E1,1.615925024E0,8.441639478E1,1.435560430E1,1.882361091E1
7.838793433E1,6.501166877E1,2.549845005E1,1.918635664E1,1.542141559E0,6.998550288E1,1.435560426E1,1.903272451E1
7.938792777E1,6.501166692E1,2.549848467E1,1.909636791E1,1.564483417E0,8.023063276E1,1.421317625E1,1.904991638E1
8.038792026E1,6.501166564E1,2.549851602E1,1.905970765E1,1.507153661E0,8.219271003E1,1.439220109E1,1.937738453E1
8.138791430E1,6.501166809E1,2.549854048E1,1.851336181E1,1.544618664E0,7.803787449E1,1.456332728E1,2.028455931E1
8.238790774E1,6.501167099E1,2.549857226E1,1.852680887E1,1.563571544E0,7.816304972E1,1.474062422E1,2.074557255E1
8.338790071E1,6.501167296E1,2.549859396E1,1.824550657E1,1.522642663E0,8.157399274E1,1.486603304E1,2.119951916E1
8.438789475E1,6.501167360E1,2.549861390E1,1.781881937E1,1.357822699E0,8.186430617E1,1.488770275E1,2.120918746E1
8.538788843E1,6.501167444E1,2.549864224E1,1.763868185E1,1.398165029E0,8.277736486E1,1.488770275E1,2.093456861E1
8.638788235E1,6.501167930E1,2.549867620E1,1.761928892E1,1.463788987E0,7.793643115E1,1.496042189E1,2.024319020E1
8.738787615E1,6.501168264E1,2.549870879E1,1.808192577E1,1.514494752E0,7.717680717E1,1.496769709E1,2.033532449E1
8.838787103E1,6.501168145E1,2.549874489E1,1.832992911E1,1.561403983E0,8.120340829E1,1.487956596E1,2.020967633E1
8.938786459E1,6.501168423E1,2.549878439E1,1.827666947E1,1.551219307E0,8.086537907E1,1.512920368E1,2.124260860E1
9.038785923E1,6.501168241E1,2.549881727E1,1.788213797E1,1.475711699E0,8.401632461E1,1.488131966E1,2.082411554E1
9.138785315E1,6.501168650E1,2.549885470E1,1.767093745E1,1.519199304E0,7.811894308E1,1.461158300E1,1.947300787E1
9.238784790E1,6.501168904E1,2.549888418E1,1.705902793E1,1.445945199E0,7.680119868E1,1.459049500E1,1.980375423E1
9.338784277E1,6.501169090E1,2.549891699E1,1.675489462E1,1.528477407E0,7.888006782E1,1.459049502E1,1.937002723E1
9.438783693E1,6.501169597E1,2.549895105E1,1.661873129E1,1.509964104E0,7.572549122E1,1.455875768E1,1.853743827E1
9.538783228E1,6.501170104E1,2.549898143E1,1.662345807E1,1.523269387E0,7.953555600E1,1.473527885E1,1.928512213E1
9.638782632E1,6.501170215E1,2.549901674E1,1.678146949E1,1.518561704E0,8.001949849E1,1.473527886E1,1.924158955E1
9.738782191E1,6.501170480E1,2.549905490E1,1.673275129E1,1.526002643E0,8.193097439E1,1.479239192E1,1.921880643E1
9.838781679E1,6.501170709E1,2.549908903E1,1.654659657E1,1.551883804E0,8.371096212E1,1.502686680E1,1.901541804E1
9.938781130E1,6.501170842E1,2.549912597E1,1.657137537E1,1.528761105E0,8.033266313E1,1.502686678E1,1.929058077E1
1.003878058E2,6.501171117E1,2.549916042E1,1.684337148E1,1.511632243E0,8.224112342E1,1.502686670E1,1.993112845E1
1.013878016E2,6.501171487E1,2.549919717E1,1.703229228E1,1.529703465E0,8.110202678E1,1.513233567E1,1.996734971E1
1.023877965E2,6.501171566E1,2.549922918E1,1.719948816E1,1.492607163E0,8.492285533E1,1.503760245E1,1.966316532E1
1.033877920E2,6.501172148E1,2.549926777E1,1.731595956E1,1.601625969E0,7.731149810E1,1.494930911E1,1.955460991E1
1.043877864E2,6.501172191E1,2.549930400E1,1.773243632E1,1.604773732E0,8.227676294E1,1.491306443E1,1.971507428E1
1.053877816E2,6.501172208E1,2.549933749E1,1.793377311E1,1.455982104E0,8.467270774E1,1.485599890E1,2.006357162E1
1.063877772E2,6.501172763E1,2.549936834E1,1.813567828E1,1.467089886E0,7.980912527E1,1.504604720E1,2.030606749E1
1.073877718E2,6.501172983E1,2.549940909E1,1.841937464E1,1.772371067E0,7.820049809E1,1.512772282E1,2.073044798E1
1.083877677E2,6.501172725E1,2.549943685E1,1.820524294E1,1.508024704E0,8.333719406E1,1.512772301E1,2.050008358E1
1.093877629E2,6.501172585E1,2.549946018E1,1.800634856E1,1.423314299E0,8.624519856E1,1.493121945E1,1.980627073E1
1.103877583E2,6.501173067E1,2.549949129E1,1.802565841E1,1.514544856E0,7.854114461E1,1.474614849E1,2.033203905E1
1.113877536E2,6.501173039E1,2.549952551E1,1.811609835E1,1.571463599E0,8.138775929E1,1.468837069E1,2.053627200E1
1.123877485E2,6.501173197E1,2.549955454E1,1.785820692E1,1.555664714E0,8.092188605E1,1.497596820E1,2.074477795E1
